grade_level_code,category_code,domain_code,cluster_code,standard_counter,substandard_counter,description
HS,F,LE,A,1,,Distinguish between situations that can be modeled with linear functions and with exponential functions.
HS,F,LE,A,1,a,"Prove that linear functions grow by equal differences over equal intervals, and that exponential functions grow by equal factors over equal intervals."
HS,F,LE,A,1,b,Recognize situations in which one quantity changes at a constant rate per unit interval relative to another.
HS,F,LE,A,1,c,Recognize situations in which a quantity grows or decays by a constant percent rate per unit interval relative to another.
HS,F,LE,A,2,,"Construct linear and exponential functions, including arithmetic and geometric sequences, given a graph, a description of a relationship, or two input-output pairs (include reading these from a table)."
HS,F,LE,A,3,,"Observe using graphs and tables that a quantity increasing exponentially eventually exceeds a quantity increasing linearly, quadratically, or (more generally) as a polynomial function."
HS,F,LE,A,4,,"For exponential models, express as a logarithm the solution to $ab^{ct} = d$ where $a$, $c$, and $d$ are numbers and the base $b$ is 2, 10, or $e$; evaluate the logarithm using technology."
HS,F,LE,B,5,,Interpret the parameters in a linear or exponential function in terms of a context.
HS,F,TF,A,1,,Understand radian measure of an angle as the length of the arc on the unit circle subtended by the angle.
HS,F,TF,A,2,,"Explain how the unit circle in the coordinate plane enables the extension of trigonometric functions to all real numbers, interpreted as radian measures of angles traversed counterclockwise around the unit circle."
HS,F,TF,B,5,,"Choose trigonometric functions to model periodic phenomena with specified amplitude, frequency, and midline."
HS,F,TF,C,8,,"Prove the Pythagorean identity $\sin^2(\theta) + \cos^2(\theta) = 1$ and use it to find $\sin(\theta)$, $\cos(\theta)$, or $\tan(\theta)$ given one of them and the quadrant of the angle."
HS,F,TF,C,9,,"Prove the addition and subtraction formulas for sine, cosine, and tangent and use them to solve problems."
HS,G,CO,A,1,,"Know precise definitions of angle, circle, perpendicular line, parallel line, and line segment, based on the undefined notions of point, line, distance along a line, and distance around a circular arc."
HS,G,CO,A,2,,"Represent transformations in the plane using, e.g., transparencies and geometry software; describe transformations as functions that take points in the plane as inputs and give other points as outputs. Compare transformations that preserve distance and angle to those that do not (e.g., translation versus horizontal stretch)."
HS,G,CO,A,3,,"Given a rectangle, parallelogram, trapezoid, or regular polygon, describe the rotations and reflections that carry it onto itself."
HS,G,CO,A,4,,"Develop definitions of rotations, reflections, and translations in terms of angles, circles, perpendicular lines, parallel lines, and line segments."
HS,G,CO,A,5,,"Given a geometric figure and a rotation, reflection, or translation, draw the transformed figure using, e.g., graph paper, tracing paper, or geometry software. Specify a sequence of transformations that will carry a given figure onto another."
HS,G,CO,B,6,,"Use geometric descriptions of rigid motions to transform figures and to predict the effect of a given rigid motion on a given figure; given two figures, use the definition of congruence in terms of rigid motions to decide if they are congruent."
HS,G,CO,B,7,,Use the definition of congruence in terms of rigid motions to show that two triangles are congruent if and only if corresponding pairs of sides and corresponding pairs of angles are congruent.
HS,G,CO,B,8,,"Explain how the criteria for triangle congruence (ASA, SAS, and SSS) follow from the definition of congruence in terms of rigid motions."
HS,G,CO,C,9,,Prove theorems about lines and angles.
HS,G,CO,C,10,,Prove theorems about triangles.
HS,G,CO,C,11,,Prove theorems about parallelograms.
HS,G,CO,D,12,,"Make formal geometric constructions with a variety of tools and methods (compass and straightedge, string, reflective devices, paper folding, dynamic geometric software, etc.)."
HS,G,CO,D,13,,"Construct an equilateral triangle, a square, and a regular hexagon inscribed in a circle."
HS,G,SRT,A,1,,Verify experimentally the properties of dilations given by a center and a scale factor.
HS,G,SRT,A,1,a,"A dilation takes a line not passing through the center of the dilation to a parallel line, and leaves a line passing through the center unchanged."
HS,G,SRT,A,1,b,The dilation of a line segment is longer or shorter in the ratio given by the scale factor.
HS,G,SRT,A,2,,"Given two figures, use the definition of similarity in terms of similarity transformations to decide if they are similar; explain using similarity transformations the meaning of similarity for triangles."
HS,G,SRT,A,3,,Use the properties of similarity transformations to establish the AA criterion for two triangles to be similar.
HS,G,SRT,B,4,,Prove theorems about triangles.
HS,G,SRT,B,5,,Use congruence and similarity criteria for triangles to solve problems and to prove relationships in geometric figures.
HS,G,SRT,C,6,,"Understand that by similarity, side ratios in right triangles are properties of the angles in the triangle, leading to definitions of trigonometric ratios for acute angles."
HS,G,SRT,C,7,,Explain and use the relationship between the sine and cosine of complementary angles.
HS,G,SRT,C,8,,Use trigonometric ratios and the Pythagorean Theorem to solve right triangles in applied problems.
HS,G,C,A,1,,Prove that all circles are similar.
HS,G,C,A,2,,"Identify and describe relationships among inscribed angles, radii, and chords."
HS,G,C,B,5,,"Derive using similarity the fact that the length of the arc intercepted by an angle is proportional to the radius, and define the radian measure of the angle as the constant of proportionality; derive the formula for the area of a sector."
HS,G,GPE,A,1,,Derive the equation of a circle of given center and radius using the Pythagorean Theorem; complete the square to find the center and radius of a circle given by an equation.
HS,G,GPE,A,2,,Derive the equation of a parabola given a focus and directrix.
HS,G,GPE,B,4,,Use coordinates to prove simple geometric theorems algebraically.
HS,G,GPE,B,5,,Prove the slope criteria for parallel and perpendicular lines and use them to solve geometric problems.
HS,G,GPE,B,6,,Find the point on a directed line segment between two given points that partitions the segment in a given ratio.
HS,G,GPE,B,7,,"Use coordinates to compute perimeters of polygons and areas of triangles and rectangles, e.g., using the distance formula."
HS,G,GMD,A,1,,"Give an informal argument for the formulas for the circumference of a circle, area of a circle, volume of a cylinder, pyramid, and cone."
HS,G,GMD,A,3,,"Use volume formulas for cylinders, pyramids, cones, and spheres to solve problems."
HS,G,GMD,B,4,,"Identify the shapes of two-dimensional cross-sections of three-dimensional objects, and identify three-dimensional objects generated by rotations of two-dimensional objects."
HS,G,MG,A,1,,"Use geometric shapes, their measures, and their properties to describe objects (e.g., modeling a tree trunk or a human torso as a cylinder)."
HS,G,MG,A,2,,"Apply concepts of density based on area and volume in modeling situations (e.g., persons per square mile, BTUs per cubic foot)."
HS,G,MG,A,3,,"Apply geometric methods to solve design problems (e.g., designing an object or structure to satisfy physical constraints or minimize cost; working with typographic grid systems based on ratios)."
HS,S,ID,A,1,,"Represent data with plots on the real number line (dot plots, histograms, and box plots)."
HS,S,ID,A,2,,"Use statistics appropriate to the shape of the data distribution to compare center (median, mean) and spread (interquartile range, standard deviation) of two or more different data sets."
HS,S,ID,A,3,,"Interpret differences in shape, center, and spread in the context of the data sets, accounting for possible effects of extreme data points (outliers)."
HS,S,ID,A,4,,"Use the mean and standard deviation of a data set to fit it to a normal distribution and to estimate population percentages. Recognize that there are data sets for which such a procedure is not appropriate. Use calculators, spreadsheets, and tables to estimate areas under the normal curve."
HS,S,ID,B,5,,Summarize categorical data for two categories in two-way frequency tables. Interpret relative frequencies in the context of the data.
HS,S,ID,B,6,,"Represent data on two quantitative variables on a scatter plot, and describe how the variables are related."
HS,S,ID,B,6,a,Fit a function to the data; use functions fitted to data to solve problems in the context of the data.
HS,S,ID,B,6,b,Informally assess the fit of a function by plotting and analyzing residuals.
HS,S,ID,B,6,c,Fit a linear function for a scatter plot that suggests a linear association.
HS,S,ID,C,7,,Interpret the slope (rate of change) and the intercept (constant term) of a linear model in the context of the data.
HS,S,ID,C,8,,Compute (using technology) and interpret the correlation coefficient of a linear fit.
HS,S,ID,C,9,,Distinguish between correlation and causation.
HS,S,IC,A,1,,Understand statistics as a process for making inferences about population parameters based on a random sample from that population.
HS,S,IC,A,2,,"Decide if a specified model is consistent with results from a given data-generating process, e.g., using simulation."
HS,S,IC,B,3,,"Recognize the purposes of and differences among sample surveys, experiments, and observational studies; explain how randomization relates to each."
HS,S,IC,B,4,,Use data from a sample survey to estimate a population mean or proportion; develop a margin of error through the use of simulation models for random sampling.
HS,S,IC,B,5,,Use data from a randomized experiment to compare two treatments; use simulations to decide if differences between parameters are significant.
HS,S,IC,B,6,,Evaluate reports based on data.
HS,S,CP,A,1,,"Describe events as subsets of a sample space (the set of outcomes) using characteristics (or categories) of the outcomes, or as unions, intersections, or complements of other events (“or,” “and,” “not”)."
HS,S,CP,A,2,,"Understand that two events $A$ and $B$ are independent if the probability of $A$ and $B$ occurring together is the product of their probabilities, and use this characterization to determine if they are independent."
HS,S,CP,A,3,,"Understand the conditional probability of $A$ given $B$ as $P(A \text{ and } B)/P(B)$, and interpret independence of $A$ and $B$ as saying that the conditional probability of $A$ given $B$ is the same as the probability of $A$."
HS,S,CP,A,4,,Construct and interpret two-way frequency tables of data when two categories are associated with each object being classified. Use the two-way table as a sample space to decide if events are independent and to approximate conditional probabilities.
HS,S,CP,A,5,,Recognize and explain the concepts of conditional probability and independence in everyday language and everyday situations.
HS,S,CP,B,6,,"Find the conditional probability of $A$ given $B$ as the fraction of $B$’s outcomes that also belong to $A$, and interpret the answer in terms of the model."
HS,S,CP,B,7,,"Apply the Addition Rule, $P(A \text{ or } B) = P(A) + P(B) - P(A \text{ and } B)$, and interpret the answer in terms of the model."
HS,A,APR,D,7,,"(+) Understand that rational expressions form a system analogous to the rational numbers, closed under addition, subtraction, multiplication, and division by a nonzero rational expression; add, subtract, multiply, and divide rational expressions."
HS,A,REI,C,8,,(+) Represent a system of linear equations as a single matrix equation in a vector variable.
HS,A,REI,C,9,,(+) Find the inverse of a matrix if it exists and use it to solve systems of linear equations (using technology for matrices of dimension 3 × 3 or greater).
HS,F,BF,B,4,b,(+) Verify by composition that one function is the inverse of another.
HS,F,BF,B,4,c,"(+) Read values of an inverse function from a graph or a table, given that the function has an inverse."
HS,F,BF,B,5,,(+) Understand the inverse relationship between exponents and logarithms and use this relationship to solve problems involving logarithms and exponents.
HS,G,C,A,3,,"Construct the inscribed and circumscribed circles of a triangle, and prove properties of angles for a quadrilateral inscribed in a circle."
HS,G,C,A,4,,(+) Construct a tangent line from a point outside a given circle to the circle.
HS,G,SRT,D,10,,(+) Prove the Laws of Sines and Cosines and use them to solve problems.
HS,G,SRT,D,11,,"(+) Understand and apply the Law of Sines and the Law of Cosines to find unknown measurements in right and non-right triangles (e.g., surveying problems, resultant forces)."
