grade_level_code,domain_code,cluster_code,standard_counter,substandard_counter,description
K,G,B,6,,"Compose simple shapes to form larger shapes. For example, “Can you join these two triangles with full sides touching to make a rectangle?”"
1,OA,A,1,,"Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions."
1,OA,A,2,,Solve word problems that call for addition of three whole numbers whose sum is less than or equal to 20.
1,OA,B,3,,Apply properties of operations as strategies to add and subtract.
1,OA,B,4,,Understand subtraction as an unknown-addend problem.
1,OA,C,5,,"Relate counting to addition and subtraction (e.g., by counting on 2 to add 2)."
1,OA,C,6,,"Add and subtract within 20, demonstrating fluency for addition and subtraction within 10."
1,OA,D,7,,"Understand the meaning of the equal sign, and determine if equations involving addition and subtraction are true or false."
1,OA,D,8,,Determine the unknown whole number in an addition or subtraction equation relating three whole numbers.
1,NBT,A,1,,"Count to 120, starting at any number less than 120. In this range, read and write numerals and represent a number of objects with a written numeral."
1,NBT,B,2,,Understand that the two digits of a two-digit number represent amounts of tens and ones.
1,NBT,B,2,a,10 can be thought of as a bundle of ten ones — called a “ten.”
1,NBT,B,2,b,"The numbers from 11 to 19 are composed of a ten and one, two, three, four, five, six, seven, eight, or nine ones."
1,NBT,B,2,c,"The numbers 10, 20, 30, 40, 50, 60, 70, 80, 90 refer to one, two, three, four, five, six, seven, eight, or nine tens (and 0 ones)."
1,NBT,B,3,,"Compare two two-digit numbers based on meanings of the tens and ones digits, recording the results of comparisons with the symbols $, =, and <$."
1,NBT,C,4,,"Add within 100, including adding a two-digit number and a one-digit number, and adding a two-digit number and a multiple of 10."
1,NBT,C,5,,"Given a two-digit number, mentally find 10 more or 10 less than the number, without having to count; explain the reasoning used."
1,NBT,C,6,,Subtract multiples of 10 in the range 10-90 from multiples of 10 in the range 10-90 (positive or zero differences).
1,MD,A,1,,Order three objects by length; compare the lengths of two objects indirectly by using a third object.
1,MD,A,2,,"Express the length of an object as a whole number of length units, by laying multiple copies of a shorter object (the length unit) end to end."
1,MD,B,3,,Tell and write time in hours and half-hours using analog and digital clocks.
1,MD,C,4,,"Organize, represent, and interpret data with up to three categories; ask and answer questions about the total number of data points, how many in each category, and how many more or less are in one category than in another."
1,G,A,1,,"Distinguish between defining attributes (e.g., triangles are closed and three-sided) versus non-defining attributes (e.g., color, orientation, overall size)."
1,G,A,2,,"Compose two-dimensional shapes or three-dimensional shapes to create a composite shape, and compose new shapes from the composite shape."
1,G,A,3,,"Partition circles and rectangles into two and four equal shares, describe the shares using the words halves, fourths, and quarters, and use the phrases half of, fourth of, and quarter of."
2,OA,A,1,,"Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions."
2,OA,B,2,,"Fluently add and subtract within 20 using mental strategies. By end of Grade 2, know from memory all sums of two one-digit numbers."
2,OA,C,3,,"Determine whether a group of objects (up to 20) has an odd or even number of members, e.g., by pairing objects or counting them by 2s; write an equation to express an even number as a sum of two equal addends."
2,OA,C,4,,Use addition to find the total number of objects arranged in rectangular arrays with up to 5 rows and up to 5 columns; write an equation to express the total as a sum of equal addends.
2,NBT,A,1,,"Understand that the three digits of a three-digit number represent amounts of hundreds, tens, and ones."
2,NBT,A,1,a,100 can be thought of as a bundle of ten tens — called a “hundred.”
2,NBT,A,1,b,"The numbers 100, 200, 300, 400, 500, 600, 700, 800, 900 refer to one, two, three, four, five, six, seven, eight, or nine hundreds (and 0 tens and 0 ones)."
2,NBT,A,2,,"Count within 1000; skip-count by 5s, 10s, and 100s."
2,NBT,A,3,,"Read and write numbers to 1000 using base-ten numerals, number names, and expanded form."
2,NBT,A,4,,"Compare two three-digit numbers based on meanings of the hundreds, tens, and ones digits, using $, =, and <$ symbols to record the results of comparisons."
2,NBT,B,5,,"Fluently add and subtract within 100 using strategies based on place value, properties of operations, and/or the relationship between addition and subtraction."
2,NBT,B,6,,Add up to four two-digit numbers using strategies based on place value and properties of operations.
2,NBT,B,7,,"Add and subtract within 1000, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction."
2,NBT,B,8,,"Mentally add 10 or 100 to a given number 100-900, and mentally subtract 10 or 100 from a given number 100-900."
2,NBT,B,9,,"Explain why addition and subtraction strategies work, using place value and the properties of operations."
2,MD,A,1,,"Measure the length of an object by selecting and using appropriate tools such as rulers, yardsticks, meter sticks, and measuring tapes."
2,MD,A,2,,"Measure the length of an object twice, using length units of different lengths for the two measurements; describe how the two measurements relate to the size of the unit chosen."
2,MD,A,3,,"Estimate lengths using units of inches, feet, centimeters, and meters."
2,MD,A,4,,"Measure to determine how much longer one object is than another, expressing the length difference in terms of a standard length unit."
2,MD,B,5,,Use addition and subtraction within 100 to solve word problems involving lengths that are given in the same units.
2,MD,B,6,,"Represent whole numbers as lengths from 0 on a number line diagram with equally spaced points corresponding to the numbers 0, 1, 2, ..., and represent whole-number sums and differences within 100 on a number line diagram."
2,MD,C,7,,"Tell and write time from analog and digital clocks to the nearest five minutes, using a.m. and p.m."
2,MD,C,8,,"Solve word problems involving dollar bills, quarters, dimes, nickels, and pennies, using $ and ¢ symbols appropriately."
2,MD,D,9,,"Generate measurement data by measuring lengths of several objects to the nearest whole unit, or by making repeated measurements of the same object. Show the measurements by making a line plot, where the horizontal scale is marked off in whole-number units."
2,MD,D,10,,"Draw a picture graph and a bar graph (with single-unit scale) to represent a data set with up to four categories. Solve simple put-together, take-apart, and compare problems using information presented in a bar graph."
2,G,A,1,,"Recognize and draw shapes having specified attributes, such as a given number of angles or a given number of equal faces. Identify triangles, quadrilaterals, pentagons, hexagons, and cubes."
2,G,A,2,,Partition a rectangle into rows and columns of same-size squares and count to find the total number of them.
2,G,A,3,,"Partition circles and rectangles into two, three, or four equal shares, describe the shares using the words halves, thirds, half of, a third of, etc., and describe the whole as two halves, three thirds, four fourths."
3,OA,A,1,,"Interpret products of whole numbers, e.g., interpret $5 \times 7$ as the total number of objects in 5 groups of 7 objects each."
3,OA,A,2,,"Interpret whole-number quotients of whole numbers, e.g., interpret $56 \div 8$ as the number of objects in each share when 56 objects are partitioned equally into 8 shares."
3,OA,A,3,,"Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities."
3,OA,A,4,,Determine the unknown whole number in a multiplication or division equation relating three whole numbers.
3,OA,B,5,,Apply properties of operations as strategies to multiply and divide.
3,OA,B,6,,Understand division as an unknown-factor problem.
3,OA,C,7,,"Fluently multiply and divide within 100, using strategies such as the relationship between multiplication and division or properties of operations. By the end of Grade 3, know from memory all products of two one-digit numbers."
3,OA,D,8,,Solve two-step word problems using the four operations. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.
3,OA,D,9,,"Identify arithmetic patterns (including patterns in the addition table or multiplication table), and explain them using properties of operations."
3,NBT,A,1,,Use place value understanding to round whole numbers to the nearest 10 or 100.
3,NBT,A,2,,"Fluently add and subtract within 1000 using strategies and algorithms based on place value, properties of operations, and/or the relationship between addition and subtraction."
3,NBT,A,3,,"Multiply one-digit whole numbers by multiples of 10 in the range 10-90 (e.g., $9 \times 80$, $5 \times 60$) using strategies based on place value and properties of operations."
3,NF,A,1,,Understand a fraction $1/b$ as the quantity formed by 1 part when a whole is partitioned into $b$ equal parts; understand a fraction $a/b$ as the quantity formed by $a$ parts of size $1/b$.
3,NF,A,2,,Understand a fraction as a number on the number line; represent fractions on a number line diagram.
3,NF,A,2,a,Represent a fraction $1/b$ on a number line diagram by defining the interval from 0 to 1 as the whole and partitioning it into $b$ equal parts. Recognize that each part has size $1/b$ and that the endpoint of the part based at 0 locates the number $1/b$ on the number line.
3,NF,A,2,b,Represent a fraction $a/b$ on a number line diagram by marking off a lengths $1/b$ from 0. Recognize that the resulting interval has size $a/b$ and that its endpoint locates the number $a/b$ on the number line.
3,NF,A,3,,"Explain equivalence of fractions in special cases, and compare fractions by reasoning about their size."
3,NF,A,3,a,"Understand two fractions as equivalent (equal) if they are the same size, or the same point on a number line."
3,NF,A,3,b,"Recognize and generate simple equivalent fractions, e.g., $1/2 = 2/4$, $4/6 = 2/3$. Explain why the fractions are equivalent, e.g., by using a visual fraction model."
3,NF,A,3,c,"Express whole numbers as fractions, and recognize fractions that are equivalent to whole numbers. Examples: Express 3 in the form $3 = 3/1$; recognize that $6/1 = 6$; locate $4/4$ and 1 at the same point of a number line diagram."
3,NF,A,3,d,"Compare two fractions with the same numerator or the same denominator by reasoning about their size. Recognize that comparisons are valid only when the two fractions refer to the same whole. Record the results of comparisons with the symbols $, =, or <$, and justify the conclusions."
3,MD,A,1,,Tell and write time to the nearest minute and measure time intervals in minutes. Solve word problems involving addition and subtraction of time intervals in minutes.
3,MD,A,2,,"Measure and estimate liquid volumes and masses of objects using standard units of grams (g), kilograms (kg), and liters (l). Add, subtract, multiply, or divide to solve one-step word problems involving masses or volumes that are given in the same units."
3,MD,B,3,,Draw a scaled picture graph and a scaled bar graph to represent a data set with several categories. Solve one- and two-step “how many more” and “how many less” problems using information presented in scaled bar graphs.
3,MD,B,4,,"Generate measurement data by measuring lengths using rulers marked with halves and fourths of an inch. Show the data by making a line plot, where the horizontal scale is marked off in appropriate units— whole numbers, halves, or quarters."
3,MD,C,5,,Recognize area as an attribute of plane figures and understand concepts of area measurement.
3,MD,C,5,a,"A square with side length 1 unit, called “a unit square,” is said to have “one square unit” of area, and can be used to measure area."
3,MD,C,5,b,A plane figure which can be covered without gaps or overlaps by $n$ unit squares is said to have an area of $n$ square units.
3,MD,C,6,,"Measure areas by counting unit squares (square cm, square m, square in, square ft, and improvised units)."
3,MD,C,7,,Relate area to the operations of multiplication and addition.
3,MD,C,7,a,"Find the area of a rectangle with whole-number side lengths by tiling it, and show that the area is the same as would be found by multiplying the side lengths."
3,MD,C,7,b,"Multiply side lengths to find areas of rectangles with whole-number side lengths in the context of solving real world and mathematical problems, and represent whole-number products as rectangular areas in mathematical reasoning."
3,MD,C,7,c,Use tiling to show in a concrete case that the area of a rectangle with whole-number side lengths $a$ and $b + c$ is the sum of $a \times b$ and $a \times c$. Use area models to represent the distributive property in mathematical reasoning.
3,MD,C,7,d,"Recognize area as additive. Find areas of rectilinear figures by decomposing them into non-overlapping rectangles and adding the areas of the non-overlapping parts, applying this technique to solve real world problems."
3,MD,D,8,,"Solve real world and mathematical problems involving perimeters of polygons, including finding the perimeter given the side lengths, finding an unknown side length, and exhibiting rectangles with the same perimeter and different areas or with the same area and different perimeters."
3,G,A,1,,"Understand that shapes in different categories (e.g., rhombuses, rectangles, and others) may share attributes (e.g., having four sides), and that the shared attributes can define a larger category (e.g., quadrilaterals)."
3,G,A,2,,Partition shapes into parts with equal areas. Express the area of each part as a unit fraction of the whole.
4,OA,A,1,,"Interpret a multiplication equation as a comparison, e.g., interpret $35 = 5 \times 7$ as a statement that 35 is 5 times as many as 7 and 7 times as many as 5."
4,OA,A,2,,"Multiply or divide to solve word problems involving multiplicative comparison, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem."
4,OA,A,3,,"Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted."
4,OA,B,4,,Find all factor pairs for a whole number in the range 1-100. Recognize that a whole number is a multiple of each of its factors. Determine whether a given whole number in the range 1-100 is a multiple of a given one-digit number. Determine whether a given whole number in the range 1-100 is prime or composite.
4,OA,C,5,,Generate a number or shape pattern that follows a given rule. Identify apparent features of the pattern that were not explicit in the rule itself.
4,NBT,A,1,,"Recognize that in a multi-digit whole number, a digit in one place represents ten times what it represents in the place to its right."
4,NBT,A,2,,"Read and write multi-digit whole numbers using base-ten numerals, number names, and expanded form. Compare two multi-digit numbers based on meanings of the digits in each place, using $, =, and <$ symbols to record the results of comparisons."
4,NBT,A,3,,Use place value understanding to round multi-digit whole numbers to any place.
4,NBT,B,4,,Fluently add and subtract multi-digit whole numbers using the standard algorithm.
4,NBT,B,5,,"Multiply a whole number of up to four digits by a one-digit whole number, and multiply two two-digit numbers, using strategies based on place value and the properties of operations."
4,NBT,B,6,,"Find whole-number quotients and remainders with up to four-digit dividends and one-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division."
4,NF,A,1,,"Explain why a fraction $a/b$ is equivalent to a fraction $(n \times a)/(n \times b)$ by using visual fraction models, with attention to how the number and size of the parts differ even though the two fractions themselves are the same size."
4,NF,A,2,,"Compare two fractions with different numerators and different denominators, e.g., by creating common denominators or numerators, or by comparing to a benchmark fraction such as $1/2$."
4,NF,B,3,,Understand a fraction $a/b$ with $a > 1$ as a sum of fractions $1/b$.
4,NF,B,3,a,Understand addition and subtraction of fractions as joining and separating parts referring to the same whole.
4,NF,B,3,b,"Decompose a fraction into a sum of fractions with the same denominator in more than one way, recording each decomposition by an equation. Justify decompositions, e.g., by using a visual fraction model."
4,NF,B,3,c,"Add and subtract mixed numbers with like denominators, e.g., by replacing each mixed number with an equivalent fraction, and/or by using properties of operations and the relationship between addition and subtraction."
4,NF,B,3,d,"Solve word problems involving addition and subtraction of fractions referring to the same whole and having like denominators, e.g., by using visual fraction models and equations to represent the problem."
4,NF,B,4,,Apply and extend previous understandings of multiplication to multiply a fraction by a whole number.
4,NF,B,4,a,Understand a fraction $a/b$ as a multiple of $1/b$.
4,NF,B,4,b,"Understand a multiple of $a/b$ as a multiple of $1/b$, and use this understanding to multiply a fraction by a whole number."
4,NF,B,4,c,"Solve word problems involving multiplication of a fraction by a whole number, e.g., by using visual fraction models and equations to represent the problem."
4,NF,C,5,,"Express a fraction with denominator 10 as an equivalent fraction with denominator 100, and use this technique to add two fractions with respective denominators 10 and 100."
4,NF,C,6,,Use decimal notation for fractions with denominators 10 or 100.
4,NF,C,7,,Compare two decimals to hundredths by reasoning about their size. Recognize that comparisons are valid only when the two decimals refer to the same whole.
4,MD,A,1,,"Know relative sizes of measurement units within one system of units including km, m, cm; kg, g; lb, oz.; l, ml; hr, min, sec. Within a single system of measurement, express measurements in a larger unit in terms of a smaller unit."
4,MD,A,2,,"Use the four operations to solve word problems involving distances, intervals of time, liquid volumes, masses of objects, and money, including problems involving simple fractions or decimals."
4,MD,A,3,,Apply the area and perimeter formulas for rectangles in real world and mathematical problems.
4,MD,B,4,,"Make a line plot to display a data set of measurements in fractions of a unit (1/2, 1/4, 1/8). Solve problems involving addition and subtraction of fractions by using information presented in line plots."
4,MD,C,5,,"Recognize angles as geometric shapes that are formed wherever two rays share a common endpoint, and understand concepts of angle measurement."
4,MD,C,5,a,"An angle is measured with reference to a circle with its center at the common endpoint of the rays, by considering the fraction of the circular arc between the points where the two rays intersect the circle."
4,MD,C,5,b,An angle that turns through $n$ one-degree angles is said to have an angle measure of $n$ degrees.
4,MD,C,6,,Measure angles in whole-number degrees using a protractor. Sketch angles of specified measure.
4,MD,C,7,,"Recognize angle measure as additive. When an angle is decomposed into non-overlapping parts, the angle measure of the whole is the sum of the angle measures of the parts. Solve addition and subtraction problems to find unknown angles on a diagram in real world and mathematical problems."
4,G,A,1,,"Draw points, lines, line segments, rays, angles (right, acute, obtuse), and perpendicular and parallel lines. Identify these in two-dimensional figures."
4,G,A,2,,"Classify two-dimensional figures based on the presence or absence of parallel or perpendicular lines, or the presence or absence of angles of a specified size. Recognize right triangles as a category, and identify right triangles."
4,G,A,3,,Recognize a line of symmetry for a two-dimensional figure as a line across the figure such that the figure can be folded along the line into matching parts. Identify line-symmetric figures and draw lines of symmetry.
5,OA,A,1,,"Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols."
5,OA,A,2,,"Write simple expressions that record calculations with numbers, and interpret numerical expressions without evaluating them."
5,OA,B,3,,"Generate two numerical patterns using two given rules. Identify apparent relationships between corresponding terms. Form ordered pairs consisting of corresponding terms from the two patterns, and graph the ordered pairs on a coordinate plane."
5,NBT,A,1,,"Recognize that in a multi-digit number, a digit in one place represents 10 times as much as it represents in the place to its right and $1/10$ of what it represents in the place to its left."
5,NBT,A,2,,"Explain patterns in the number of zeros of the product when multiplying a number by powers of 10, and explain patterns in the placement of the decimal point when a decimal is multiplied or divided by a power of 10. Use whole-number exponents to denote powers of 10."
5,NBT,A,3,,"Read, write, and compare decimals to thousandths."
5,NBT,A,3,a,"Read and write decimals to thousandths using base-ten numerals, number names, and expanded form, e.g., $347.392 = 3 \times 100 + 4 \times 10 + 7 \times 1 + 3 \times (1/10) + 9 \times (1/100) + 2 \times (1/1000)$."
5,NBT,A,3,b,"Compare two decimals to thousandths based on meanings of the digits in each place, using $, =, and <$ symbols to record the results of comparisons."
5,NBT,A,4,,Use place value understanding to round decimals to any place.
5,NBT,B,5,,Fluently multiply multi-digit whole numbers using the standard algorithm.
5,NBT,B,6,,"Find whole-number quotients of whole numbers with up to four-digit dividends and two-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division."
5,NBT,B,7,,"Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction."
5,NF,A,1,,Add and subtract fractions with unlike denominators (including mixed numbers) by replacing given fractions with equivalent fractions in such a way as to produce an equivalent sum or difference of fractions with like denominators.
5,NF,A,2,,"Solve word problems involving addition and subtraction of fractions referring to the same whole, including cases of unlike denominators, e.g., by using visual fraction models or equations to represent the problem."
5,NF,B,3,,Interpret a fraction as division of the numerator by the denominator ($a/b = a \div b$). Solve word problems involving division of whole numbers leading to answers in the form of fractions or mixed numbers.
5,NF,B,4,,Apply and extend previous understandings of multiplication to multiply a fraction or whole number by a fraction.
5,NF,B,4,a,"Interpret the product $(a/b) \times q$ as a parts of a partition of $q$ into $b$ equal parts; equivalently, as the result of a sequence of operations $a \times q \div b$."
5,NF,B,4,b,"Find the area of a rectangle with fractional side lengths by tiling it with unit squares of the appropriate unit fraction side lengths, and show that the area is the same as would be found by multiplying the side lengths."
5,NF,B,5,,Interpret multiplication as scaling (resizing).
5,NF,B,5,a,"Comparing the size of a product to the size of one factor on the basis of the size of the other factor, without performing the indicated multiplication."
5,NF,B,5,b,Explaining why multiplying a given number by a fraction greater than 1 results in a product greater than the given number; explaining why multiplying a given number by a fraction less than 1 results in a product smaller than the given number.
5,NF,B,6,,"Solve real world problems involving multiplication of fractions and mixed numbers, e.g., by using visual fraction models or equations to represent the problem."
5,NF,B,7,,Apply and extend previous understandings of division to divide unit fractions by whole numbers and whole numbers by unit fractions.
5,NF,B,7,a,"Interpret division of a unit fraction by a non-zero whole number, and compute such quotients."
5,NF,B,7,b,"Interpret division of a whole number by a unit fraction, and compute such quotients."
5,NF,B,7,c,"Solve real world problems involving division of unit fractions by non-zero whole numbers and division of whole numbers by unit fractions, e.g., by using visual fraction models and equations to represent the problem."
5,MD,A,1,,"Convert among different-sized standard measurement units within a given measurement system (e.g., convert 5 cm to 0.05 m), and use these conversions in solving multi-step, real world problems."
5,MD,B,2,,"Make a line plot to display a data set of measurements in fractions of a unit (1/2, 1/4, 1/8). Use operations on fractions for this grade to solve problems involving information presented in line plots."
5,MD,C,3,,Recognize volume as an attribute of solid figures and understand concepts of volume measurement.
5,MD,C,3,a,"A cube with side length 1 unit, called a “unit cube,” is said to have “one cubic unit” of volume, and can be used to measure volume."
5,MD,C,3,b,A solid figure which can be packed without gaps or overlaps using $n$ unit cubes is said to have a volume of $n$ cubic units.
5,MD,C,4,,"Measure volumes by counting unit cubes, using cubic cm, cubic in, cubic ft, and improvised units."
5,MD,C,5,,Relate volume to the operations of multiplication and addition and solve real world and mathematical problems involving volume.
5,MD,C,5,a,"Find the volume of a right rectangular prism with whole-number side lengths by packing it with unit cubes, and show that the volume is the same as would be found by multiplying the edge lengths, equivalently by multiplying the height by the area of the base."
5,MD,C,5,b,Apply the formulas $V = l \times w \times h$ and $V = b \times h$ for rectangular prisms to find volumes of right rectangular prisms with whole-number edge lengths in the context of solving real world and mathematical problems.
5,MD,C,5,c,"Recognize volume as additive. Find volumes of solid figures composed of two non-overlapping right rectangular prisms by adding the volumes of the non-overlapping parts, applying this technique to solve real world problems."
5,G,A,1,,"Use a pair of perpendicular number lines, called axes, to define a coordinate system, with the intersection of the lines (the origin) arranged to coincide with the 0 on each line and a given point in the plane located by using an ordered pair of numbers, called its coordinates."
5,G,A,2,,"Represent real world and mathematical problems by graphing points in the first quadrant of the coordinate plane, and interpret coordinate values of points in the context of the situation."
5,G,B,3,,Understand that attributes belonging to a category of two-dimensional figures also belong to all subcategories of that category.
5,G,B,4,,Classify two-dimensional figures in a hierarchy based on properties.
6,RP,A,1,,Understand the concept of a ratio and use ratio language to describe a ratio relationship between two quantities.
6,RP,A,2,,"Understand the concept of a unit rate $a/b$ associated with a ratio $a:b$ with $b \neq 0$, and use rate language in the context of a ratio relationship."
6,RP,A,3,,"Use ratio and rate reasoning to solve real-world and mathematical problems, e.g., by reasoning about tables of equivalent ratios, tape diagrams, double number line diagrams, or equations."
6,RP,A,3,a,"Make tables of equivalent ratios relating quantities with whole-number measurements, find missing values in the tables, and plot the pairs of values on the coordinate plane. Use tables to compare ratios."
6,RP,A,3,b,Solve unit rate problems including those involving unit pricing and constant speed.
6,RP,A,3,c,"Find a percent of a quantity as a rate per 100 (e.g., 30% of a quantity means 30/100 times the quantity); solve problems involving finding the whole, given a part and the percent."
6,RP,A,3,d,Use ratio reasoning to convert measurement units; manipulate and transform units appropriately when multiplying or dividing quantities.
6,NS,A,1,,"Interpret and compute quotients of fractions, and solve word problems involving division of fractions by fractions, e.g., by using visual fraction models and equations to represent the problem."
6,NS,B,2,,Fluently divide multi-digit numbers using the standard algorithm.
6,NS,B,3,,"Fluently add, subtract, multiply, and divide multi-digit decimals using the standard algorithm for each operation."
6,NS,B,4,,Find the greatest common factor of two whole numbers less than or equal to 100 and the least common multiple of two whole numbers less than or equal to 12. Use the distributive property to express a sum of two whole numbers 1–100 with a common factor as a multiple of a sum of two whole numbers with no common factor.
6,NS,C,5,,"Understand that positive and negative numbers are used together to describe quantities having opposite directions or values; use positive and negative numbers to represent quantities in real-world contexts, explaining the meaning of 0 in each situation."
6,NS,C,6,,Understand a rational number as a point on the number line. Extend number line diagrams and coordinate axes familiar from previous grades to represent points on the line and in the plane with negative number coordinates.
6,NS,C,6,a,"Recognize opposite signs of numbers as indicating locations on opposite sides of 0 on the number line; recognize that the opposite of the opposite of a number is the number itself, e.g., $-(-3) = 3$, and that 0 is its own opposite."
6,NS,C,6,b,"Understand signs of numbers in ordered pairs as indicating locations in quadrants of the coordinate plane; recognize that when two ordered pairs differ only by signs, the locations of the points are related by reflections across one or both axes."
6,NS,C,6,c,Find and position integers and other rational numbers on a horizontal or vertical number line diagram; find and position pairs of integers and other rational numbers on a coordinate plane.
6,NS,C,7,,Understand ordering and absolute value of rational numbers.
6,NS,C,7,a,Interpret statements of inequality as statements about the relative position of two numbers on a number line diagram.
6,NS,C,7,b,"Write, interpret, and explain statements of order for rational numbers in real-world contexts."
6,NS,C,7,c,Understand the absolute value of a rational number as its distance from 0 on the number line; interpret absolute value as magnitude for a positive or negative quantity in a real-world situation.
6,NS,C,7,d,Distinguish comparisons of absolute value from statements about order.
6,NS,C,8,,Solve real-world and mathematical problems by graphing points in all four quadrants of the coordinate plane. Include use of coordinates and absolute value to find distances between points with the same first coordinate or the same second coordinate.
6,EE,A,1,,Write and evaluate numerical expressions involving whole-number exponents.
6,EE,A,2,,"Write, read, and evaluate expressions in which letters stand for numbers."
6,EE,A,2,a,Write expressions that record operations with numbers and with letters standing for numbers.
6,EE,A,2,b,"Identify parts of an expression using mathematical terms (sum, term, product, factor, quotient, coefficient); view one or more parts of an expression as a single entity."
6,EE,A,2,c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations)."
6,EE,A,3,,Apply the properties of operations to generate equivalent expressions.
6,EE,A,4,,"Identify when two expressions are equivalent (i.e., when the two expressions name the same number regardless of which value is substituted into them)."
6,EE,B,5,,"Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true?"
6,EE,B,6,,Use variables to represent numbers and write expressions when solving a real-world or mathematical problem.
6,EE,B,7,,"Solve real-world and mathematical problems by writing and solving equations of the form $x + p = q$ and $px = q$ for cases in which $p, q$ and $x$ are all nonnegative rational numbers."
6,EE,B,8,,Write an inequality of the form $x > c$ or $x < c$ to represent a constraint or condition in a real-world or mathematical problem. Recognize that inequalities of the form $x > c$ or $x < c$ have infinitely many solutions; represent solutions of such inequalities on number line diagrams.
6,EE,C,9,,"Use variables to represent two quantities in a real-world problem that change in relationship to one another; write an equation to express one quantity, thought of as the dependent variable, in terms of the other quantity, thought of as the independent variable."
6,G,A,1,,"Find the area of right triangles, other triangles, special quadrilaterals, and polygons by composing into rectangles or decomposing into triangles and other shapes."
6,G,A,2,,"Find the volume of a right rectangular prism with fractional edge lengths by packing it with unit cubes of the appropriate unit fraction edge lengths, and show that the volume is the same as would be found by multiplying the edge lengths of the prism."
